"Alain Maubert Crotte","games"
"Daryl H. Hepting","games"
"Anastasia Roshchina","games"
"David Gerhard","multimedia"
"Daryl Hepting","multimedia"
"Matthew McKague","multimedia"
"Sean Targett","games"
"Victoria Verlysdonk","games"
"Howard J. Hamilton","games"
"Daryl Hepting","games"
"Daryl H. Hepting","faces"
"Hadeel Hatim Bin Amer","faces"
"Yiyu Yao","faces"
"Daryl H. Hepting","faces"
"Timothy Maciag","faces"
"Daryl H. Hepting","fractals"
"Daryl H. Hepting","fractals"
"Daryl H. Hepting","faces"
"Hadeel Hatim Bin Amer","faces"
"Yiyu Yao","faces"
MISSING TYPE:  misc
"Sean Targett","games"
"Victoria Verlysdonk","games"
"Howard J. Hamilton","games"
"Daryl H. Hepting","games"
MISSING TYPE:  misc
"Daryl H. Hepting","enviromatics"
"Orland Hoeber","enviromatics"
"Marlin Berg","enviromatics"
"Daryl H. Hepting","creativity"
"Cory J. Butz","creativity"
"Roger A. Petry","open-source"
"Daryl H. Hepting","open-source"
"Daryl H. Hepting","creativity"
"David Gerhard","multimedia"
"Daryl H. Hepting","multimedia"
"Daryl H. Hepting","enviromatics"
"Laurie CarlsonBerg","enviromatics"
"Sarah Longman","enviromatics"
"Daryl H. Hepting","enviromatics"
"Edward Doolittle","enviromatics"
"Daryl H. Hepting","cs-education"
"Timothy Maciag","cs-education"
"Dominik Ślęzak","cs-education"
"Daryl H. Hepting","cs-education"
"B.S. McIntosh","enviromatics"
"C. Giupponi","enviromatics"
"A.A. Voinov","enviromatics"
"C. Smith","enviromatics"
"K.B. Matthews","enviromatics"
"M. Monticino","enviromatics"
"M.J. Kolkman","enviromatics"
"N. Crossman","enviromatics"
"M. van Ittersum","enviromatics"
"D. Haase","enviromatics"
"A. Haase","enviromatics"
"J. Mysiak","enviromatics"
"J.C.J. Groot","enviromatics"
"S. Sieber","enviromatics"
"P. Verweij","enviromatics"
"N. Quinn","enviromatics"
"P. Waeger","enviromatics"
"N. Gaber","enviromatics"
"D. Hepting","enviromatics"
"H. Scholten","enviromatics"
"A. Sulis","enviromatics"
"H. van Delden","enviromatics"
"E. Gaddis","enviromatics"
"H. Assaf","enviromatics"
"Timothy Maciag","enviromatics"
"Daryl H. Hepting","enviromatics"
"Dominik Ślęzak","enviromatics"
"Robert J. Hilderman","enviromatics"
"Timothy Maciag","enviromatics"
"Daryl H. Hepting","enviromatics"
"Daryl H. Hepting","food"
"Timothy Maciag","food"
"S. A. A. Rizvi","food"
"Timothy Maciag","food"
"Daryl H. Hepting","food"
"Dominik Ślęzak","food"
"Robert J. Hilderman","food"
"Timothy Maciag","food"
"Daryl H. Hepting","food"
"Robert J. Hilderman","food"
"Dominik Ślęzak","food"
"Daryl H. Hepting","cs-education"
"Lijuan Peng","cs-education"
"Timothy Maciag","cs-education"
"David Gerhard","cs-education"
"Brien Maguire","cs-education"
"Timothy Maciag","enviromatics"
"Roger A. Petry","enviromatics"
"Curt Schroeder","enviromatics"
"Daryl H. Hepting","enviromatics"
"Roger A. Petry","enviromatics"
"Daryl H. Hepting","enviromatics"
"Sean Targett","games"
"Daryl H. Hepting","games"
"Timothy Maciag","enviromatics"
"Daryl H. Hepting","enviromatics"
"Trevor M. Tomesh","enviromatics"
"Daryl H. Hepting","enviromatics"
"Roger A. Petry","enviromatics"
"Garth Pickard","enviromatics"
"Daryl H. Hepting","enviromatics"
"Daryl H. Hepting","enviromatics"
"Timothy Maciag","food"
"Daryl H. Hepting","food"
"JoAnn Jaffe","food"
"Katherine D. Arbuthnott","food"
"Darryl Dormuth","food"
"Daryl H. Hepting","food"
"Timothy Maciag","enviromatics"
"Daryl H. Hepting","enviromatics"
"Dominik Ślęzak","enviromatics"
"Daryl H. Hepting","enviromatics"
"Timothy Maciag","enviromatics"
"Timothy Maciag","enviromatics"
"Daryl H. Hepting","enviromatics"
"Timothy Maciag","enviromatics"
"Daryl H. Hepting","enviromatics"
"Timothy Maciag","food"
"Dominik Ślęzak","food"
"Daryl H. Hepting","food"
"Robert Hilderman","food"
"B.S. McIntosh","enviromatics"
"J.C. Ascough","enviromatics"
"M. Twery","enviromatics"
"J. Chew","enviromatics"
"A. Elmahdi","enviromatics"
"D. Haase","enviromatics"
"J.J. Harou","enviromatics"
"D. Hepting","enviromatics"
"S. Cuddy","enviromatics"
"A.J. Jakeman","enviromatics"
"S. Chen","enviromatics"
"A. Kassahun","enviromatics"
"S. Lautenbach","enviromatics"
"K. Matthews","enviromatics"
"W. Merritt","enviromatics"
"N.W.T. Quinn","enviromatics"
"I. Rodriguez-Roda","enviromatics"
"S. Sieber","enviromatics"
"M. Stavenga","enviromatics"
"A. Sulis","enviromatics"
"J. Ticehurst","enviromatics"
"M. Volk","enviromatics"
"M. Wrobel","enviromatics"
"H. van Delden","enviromatics"
"S. El-Sawah","enviromatics"
"A. Rizzoli","enviromatics"
"A. Voinov","enviromatics"
"Daryl H. Hepting","food"
"Timothy Maciag","food"
"Harvey Hill","food"
"Daryl H. Hepting","multimedia"
"David Gerhard","multimedia"
"Daryl H. Hepting","visualization"
"Daryl H. Hepting","faces"
"Timothy Maciag","faces"
"Richard Spring","faces"
"Katherine Arbuthnott","faces"
"Dominik Ślęzak","faces"
MISSING TYPE:  unpublished
"Lizao Fang","creativity"
"Daryl H. Hepting","creativity"
"Timothy Maciag","food"
"Daryl H. Hepting","food"
MISSING TYPE:  unpublished
"Daryl H. Hepting","cs-education"
"Gerry Donaldson","cs-education"
"Peter R. King","cs-education"
"Danny Silver","cs-education"
"Trevor M. Tomesh","games"
"Daryl H. Hepting","games"
"Daryl H. Hepting","faces"
"Hadeel Hatim Bin Amer","faces"
"Yiyu Yao","faces"
"Daryl H. Hepting","faces"
"Richard Spring","faces"
"Dominik Ślęzak","faces"
"Daryl H. Hepting","cogito"
"Daryl H. Hepting","visualization"
"Katherine D. Arbuthnott","visualization"
"Daryl H. Hepting","visualization"
"Paul Schmiedge","visualization"
"David Gerhard","multimedia"
"Daryl H. Hepting","multimedia"
"Jirayu Uttaranakorn","multimedia"
"Daryl H. Hepting","multimedia"
"Sheila Petty","multimedia"
"Daryl H. Hepting","multimedia"
"David Gerhard","multimedia"
"Matthew McKague","multimedia"
"Paul Schmiedge","multimedia"
"Daryl H. Hepting","visualization"
"Weiming Cao","visualization"
"Robert D. Russell","visualization"
"Daryl H. Hepting","visualization"
"Gianne Derks","visualization"
"Kossi D. Edoh","visualization"
"Robert D. Russell","visualization"
"Daryl H. Hepting","visualization"
"F. David Fracchia","visualization"
"John C. Dill","visualization"
"Robert D. Russell","visualization"
"Daryl H. Hepting","enviromatics"
"Timothy Maciag","enviromatics"
"Daryl H. Hepting","visualization"
"Weizhang Huang","visualization"
"Robert D. Russell","visualization"
"Daryl H. Hepting","visualization"
"Kossi D. Edoh","visualization"
"Gianne Derks","visualization"
"Robert D. Russell","visualization"
"Daryl H. Hepting","visualization"
"Gianne Derks","visualization"
"Kossi D. Edoh","visualization"
"Robert D. Russell","visualization"
"Daryl H. Hepting","multimedia"
"Daryl H. Hepting","fractals"
"John C. Hart","fractals"
"Daryl H. Hepting","fractals"
"Leila Latifi","fractals"
"Chris Oriet","fractals"
"Daryl H. Hepting","creativity"
"Daryl H. Hepting","fractals"
"Daryl H. Hepting","creativity, visualization"
"Daryl H. Hepting","fractals"
"Leila Latifi","fractals"
"Daryl H. Hepting","faces"
"Emad H. Almestadi","faces"
"Daryl H. Hepting","fractals"
"Przemyslaw Prusinkiewicz","fractals"
"Dietmar Saupe","fractals"
"Daryl H. Hepting","enviromatics, food"
"JoAnn Jaffe","enviromatics, food"
"Timothy Maciag","enviromatics, food"
"Jane Anderson","free-knowledge"
"Leonzo Barreno","free-knowledge"
"Doug Bone","free-knowledge"
"Mitch Diamantopoulos","free-knowledge"
"Patricia Elliott","free-knowledge"
"Joshua Farley","free-knowledge"
"Daryl Hepting","free-knowledge"
"Brewster Kneen","free-knowledge"
"Ida Kubiszewski","free-knowledge"
"Sally Mahood","free-knowledge"
"Heather Morrison","free-knowledge"
"Claire Polster","free-knowledge"
"Arthur Schafer","free-knowledge"
"Marian van der Zon","free-knowledge"
"Roberto Verzola","free-knowledge"
"Joel Westheimer","free-knowledge"
"Gregory Younging","free-knowledge"
