id,name,urc
CS-110,Programming and Problem Solving,7358
CS-205,Introduction to Multimedia Systems,2277
CS-215,Web Oriented Programming,
CS-230,Introduction to Computer Science III,
CS-305,Human Computer Communication,
CS-305+828,Human Computer Communication,
CS-325,Introduction to Multimedia Systems,
CS-330,Introduction to Operating Systems,
FILM-385AB,Introduction to Multimedia Systems,
CS-280,Risk and Reward in the Information Society,1458
CS-428+828,Human Computer Communication,2084
CS-428+730,HCI Fundamentals,
CS-499+900,Seminars,5148
CS-730,HCI Fundamentals,
CS-733,Computer Graphics & Animation,
CS-828,Human Computer Communication,
