response,q1,q2,q3,q4,q5,q6,q7,q8,q9,avg,SD,mode,median
1,1,2,1,1,3,1,3,2,2,1.8,0.83,1,2
2,3,3,3,4,5,4,5,5,5,4.1,0.93,5,4
3,3,3,3,4,5,3,5,4,5,3.9,0.93,3,4
4,4,4,4,4,4,4,4,4,4,4.0,0.00,4,4
5,4,4,4,4,4,5,4,5,5,4.3,0.50,4,4
6,3,3,2,3,4,4,4,4,4,3.4,0.73,4,4
7,2,2,3,2,2,3,1,2,2,2.1,0.60,2,2
8,3,3,3,3,3,3,3,3,3,3.0,0.00,3,3
9,3,3,3,4,5,4,3,4,3,3.6,0.73,3,3
10,2,3,2,3,2,3,2,3,1,2.3,0.71,2,2
11,3,4,2,3,4,4,4,3,3,3.3,0.71,3,3
12,1,1,1,1,5,1,3,3,3,2.1,1.45,1,1
13,3,4,3,4,4,3,4,4,4,3.7,0.50,4,4
14,2,3,2,4,4,1,5,4,5,3.3,1.41,4,4
15,3,3,3,4,4,2,5,3,4,3.4,0.88,3,3
16,4,3,3,3,5,3,4,4,4,3.7,0.71,4,4
17,4,3,4,4,4,4,5,4,4,4.0,0.50,4,4
18,4,3,3,4,5,4,5,4,4,4.0,0.71,4,4
19,2,4,1,4,4,1,4,2,2,2.7,1.32,4,2
20,4,4,4,3,5,4,4,3,5,4.0,0.71,4,4
21,3,3,3,3,4,3,5,3,4,3.4,0.73,3,3
22,1,1,1,3,1,1,1,1,2,1.3,0.71,1,1
23,3,1,2,4,5,1,5,2,3,2.9,1.54,3,3
24,1,1,1,1,4,2,2,2,3,1.9,1.05,1,2
25,4,4,3,3,3,2,5,5,5,3.8,1.09,3,4
26,1,2,1,1,4,3,5,2,2,2.3,1.41,1,2
27,4,3,3,4,3,4,3,3,3,3.3,0.50,3,3
28,2,2,2,2,4,2,5,3,3,2.8,1.09,2,2
29,2,3,2,5,4,2,5,3,3,3.2,1.20,2,3
30,3,3,3,4,4,2,5,3,4,3.4,0.88,3,3
31,4,3,4,4,4,3,5,3,4,3.8,0.67,4,4
32,3,4,3,3,5,3,5,4,4,3.8,0.83,3,4
33,5,5,5,5,5,5,5,5,5,5.0,0.00,5,5
34,2,2,1,1,2,1,5,2,2,2.0,1.22,2,2
35,4,3,3,3,4,3,4,3,4,3.4,0.53,3,3
36,3,3,3,3,3,4,5,3,5,3.6,0.88,3,3
37,3,3,3,3,3,3,3,3,5,3.2,0.67,3,3
38,5,5,5,5,5,5,5,5,5,5.0,0.00,5,5
39,0,0,0,0,0,0,0,0,0,0,0,0,0
40,4,3,2,3,3,2,4,2,4,3.0,0.87,4,3
41,4,4,3,4,5,3,4,2,5,3.8,0.97,4,4
42,1,1,1,1,1,1,1,1,1,1.0,0.00,1,1
43,4,4,4,3,4,4,4,5,4,4.0,0.50,4,4
44,2,4,1,2,3,1,4,1,2,2.2,1.20,2,2
45,2,1,1,3,3,2,4,2,2,2.2,0.97,2,2
46,3,3,3,3,3,3,3,3,3,3.0,0.00,3,3
47,3,4,3,4,3,4,5,2,3,3.4,0.88,3,3
48,5,4,3,3,5,5,5,5,5,4.4,0.88,5,5
49,2,2,2,2,3,3,5,3,3,2.8,0.97,2,3
50,3,2,4,3,5,3,5,5,3,3.7,1.12,3,3
51,4,3,2,4,3,3,4,3,4,3.3,0.71,4,3
52,5,5,5,5,5,5,5,5,5,5.0,0.00,5,5
53,4,4,4,4,4,4,4,4,4,4.0,0.00,4,4
54,3,4,3,4,3,4,4,3,3,3.4,0.53,3,3
55,5,5,5,5,5,5,5,5,5,5.0,0.00,5,5
56,3,4,2,2,5,3,5,3,5,3.6,1.24,3,3
57,5,5,3,5,5,4,5,5,5,4.7,0.71,5,5
58,3,5,3,4,5,2,5,3,4,3.8,1.09,3,4
59,4,3,2,,4,2,4,3,4,3.3,0.89,4,3.5
60,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1,2,3,3,3,3,2,2,3,2.4,0.73,3,3
62,2,3,1,4,5,2,5,4,5,3.4,1.51,5,4
63,3,3,2,3,4,3,5,3,5,3.4,1.01,3,3
64,5,4,5,5,5,5,5,5,5,4.9,0.33,5,5
65,3,3,3,2,4,2,5,3,4,3.2,0.97,3,3
66,4,3,3,4,4,3,4,3,4,3.6,0.53,4,4
67,4,4,5,5,5,3,5,5,5,4.6,0.73,5,5
68,5,4,5,5,5,5,5,5,5,4.9,0.33,5,5
69,3,3,2,3,5,4,5,4,5,3.8,1.09,3,4
Average,3.1,3.2,2.8,3.3,4.0,3.0,4.2,3.3,3.8,3.4,0.76,,
SD,1.2,1.1,1.2,1.1,1.0,1.2,1.1,1.1,1.1,,,,
Mode,3,3,3,4,5,3,5,3,5,,,,
Median,3,3,3,3,4,3,5,3,4,,,,
